电音超跑	掌游天下ZPLAY	742554人安装	7.7	61.71MB	2017年11月10日	2704	音乐,单机,电音,节奏,竞速,炫酷,有毒,跑酷,中文,街机,谷歌,竖屏
							
疯狂的手机	趣味盒子		9.2	19.77MB	2017年5月19日	5073	益智,单机,脑洞,休闲,解谜,趣味
							
跳舞的线	Cheetah Games	4069941人安装	9.8	80.37MB	2018年2月10日	42026	音乐,有毒,单机,节奏,唯美,虐心,手残,休闲,虐手,中文,街机,耐心,内购,艺术,娱乐,UP主推荐,竖屏,小清新,英文
							
还有这种操作	青豆工作室	3448670人安装	8.8	14.18MB	2018年2月5日	13846	烧脑,有毒,益智,单机,搞笑,文字,休闲,中文,解密
							
物理画线	tinygame		7.9	12.78MB	2017年10月9日	1896	物理,有毒,单机,烧脑,解密
							
艾彼(Abi)	莉莉丝游戏	645863人安装	8.8	122.92MB	2018年2月2日	3451	单机,独立游戏,末日,解谜,解密,BGM好评,中文,益智,治愈,UP主推荐,射击,冒险
							
长生劫-盗墓长生印	北派游戏工作室	763090人安装	9.7	95.82MB	2018年1月30日	20139	生存,单机,盗墓,解谜,独立游戏,RPG,冒险,UP主推荐,文字,策略,中文,角色扮演,重度,竖屏,联网
							
滚动的天空	Cheetah Games	1912732人安装	9.6	44.19MB	2018年1月12日	4550	音乐,虐心,反应力,单机,跑酷,手残,独立游戏,休闲,摔手机,速度,节奏,中文,3D,英文,街机,UP主推荐,刺激
							
超车小能手	具勇虎	214170人安装	5.6	111.98MB	2018年2月10日	406	驾驶,赛车,模拟,单机,竞速,刺激
							
还有这种操作2	青豆工作室	5221人预约	9.6	13.54MB	2018年2月5日	10545	烧脑,有毒,脑洞,搞笑,单机,益智,文字,竖屏
							
死亡日记2	北京乐动卓越科技有限公司	331748人安装	7.2	82.77MB	2017年12月27日	1568	生存,丧尸,多人,文字,求生,冒险,剧情,末日,恐怖,中文,角色扮演,英文
							
香肠派对（测试服）	厦门真有趣信息科技有限公司	479654人关注	8.3	415.15MB	2018年2月9日	6418	吃鸡,多人联机,求生,射击,第三人称,生存,多人对战,联机,多人,枪战,中文,刺激,合作,多人在线,动作,3D,开放世界,角色扮演,有毒
							
楚留香	网易游戏	1886944人安装	7.4	354.88MB	2018年1月26日	28810	高自由度,MMORPG,武侠,画质党,捏人,高画质,中国风,剧情,联机,古风,角色扮演,3D,MMO,风景党,网游,多人在线,RPG,动作,联网,大型
							
